region,size,io_time,memory_time,computation_time,total_time
1,16,0.0003,0.0001,0.0002,0.0006
2,16,0.0038,0.0002,0.0011,0.0051
3,16,0.0002,0.0001,0.0009,0.0013
4,16,0.0002,0.0001,0.0010,0.0013
1,16,0.0002,0.0001,0.0001,0.0005
2,16,0.0002,0.0001,0.0009,0.0012
3,16,0.0002,0.0001,0.0008,0.0012
4,16,0.0002,0.0001,0.0009,0.0011
1,16,0.0002,0.0001,0.0001,0.0004
2,16,0.0002,0.0001,0.0006,0.0009
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0000,0.0002
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0005
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0001,0.0002
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0005
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0012,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0010,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0012
3,32,0.0001,0.0001,0.0010,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0012,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0012
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0012
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0012,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0012
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0013,0.0015
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0011,0.0013
4,32,0.0001,0.0001,0.0013,0.0015
1,64,0.0001,0.0002,0.0007,0.0009
2,64,0.0002,0.0002,0.0044,0.0047
3,64,0.0002,0.0001,0.0041,0.0045
4,64,0.0002,0.0001,0.0050,0.0053
1,64,0.0001,0.0002,0.0007,0.0010
2,64,0.0002,0.0002,0.0044,0.0047
3,64,0.0002,0.0002,0.0042,0.0046
4,64,0.0002,0.0002,0.0051,0.0055
1,64,0.0001,0.0001,0.0007,0.0009
2,64,0.0002,0.0002,0.0044,0.0047
3,64,0.0002,0.0002,0.0037,0.0041
4,64,0.0002,0.0001,0.0049,0.0052
1,64,0.0001,0.0002,0.0006,0.0009
2,64,0.0003,0.0002,0.0045,0.0050
3,64,0.0001,0.0002,0.0041,0.0045
4,64,0.0002,0.0002,0.0048,0.0052
1,64,0.0001,0.0001,0.0006,0.0009
2,64,0.0001,0.0001,0.0044,0.0047
3,64,0.0001,0.0001,0.0040,0.0043
4,64,0.0002,0.0001,0.0050,0.0053
1,64,0.0002,0.0002,0.0006,0.0010
2,64,0.0002,0.0002,0.0044,0.0048
3,64,0.0002,0.0002,0.0042,0.0045
4,64,0.0002,0.0002,0.0050,0.0053
1,64,0.0002,0.0002,0.0007,0.0011
2,64,0.0001,0.0001,0.0044,0.0047
3,64,0.0002,0.0002,0.0042,0.0045
4,64,0.0002,0.0002,0.0050,0.0053
1,64,0.0001,0.0002,0.0007,0.0010
2,64,0.0001,0.0001,0.0044,0.0047
3,64,0.0001,0.0001,0.0041,0.0044
4,64,0.0002,0.0001,0.0049,0.0052
1,64,0.0001,0.0001,0.0006,0.0009
2,64,0.0002,0.0002,0.0046,0.0049
3,64,0.0002,0.0002,0.0052,0.0056
4,64,0.0002,0.0002,0.0049,0.0052
1,64,0.0002,0.0001,0.0006,0.0010
2,64,0.0002,0.0001,0.0043,0.0046
3,64,0.0001,0.0002,0.0040,0.0043
4,64,0.0001,0.0001,0.0050,0.0053
1,128,0.0003,0.0005,0.0025,0.0034
2,128,0.0005,0.0008,0.0168,0.0182
3,128,0.0004,0.0006,0.0168,0.0177
4,128,0.0005,0.0007,0.0192,0.0205
1,128,0.0004,0.0006,0.0025,0.0035
2,128,0.0004,0.0006,0.0170,0.0180
3,128,0.0005,0.0008,0.0159,0.0172
4,128,0.0005,0.0006,0.0188,0.0198
1,128,0.0003,0.0006,0.0025,0.0034
2,128,0.0004,0.0006,0.0188,0.0197
3,128,0.0005,0.0007,0.0164,0.0175
4,128,0.0005,0.0006,0.0191,0.0202
1,128,0.0004,0.0006,0.0026,0.0036
2,128,0.0003,0.0006,0.0168,0.0177
3,128,0.0004,0.0006,0.0158,0.0168
4,128,0.0003,0.0006,0.0202,0.0211
1,128,0.0004,0.0006,0.0025,0.0035
2,128,0.0005,0.0005,0.0172,0.0182
3,128,0.0004,0.0006,0.0159,0.0169
4,128,0.0006,0.0007,0.0194,0.0206
1,128,0.0004,0.0006,0.0027,0.0038
2,128,0.0004,0.0006,0.0165,0.0175
3,128,0.0004,0.0006,0.0166,0.0175
4,128,0.0004,0.0006,0.0193,0.0203
1,128,0.0003,0.0006,0.0025,0.0034
2,128,0.0006,0.0006,0.0167,0.0178
3,128,0.0004,0.0005,0.0156,0.0166
4,128,0.0004,0.0006,0.0187,0.0197
1,128,0.0004,0.0006,0.0027,0.0037
2,128,0.0004,0.0006,0.0171,0.0181
3,128,0.0007,0.0008,0.0164,0.0179
4,128,0.0005,0.0005,0.0191,0.0202
1,128,0.0004,0.0006,0.0026,0.0035
2,128,0.0005,0.0007,0.0163,0.0175
3,128,0.0004,0.0006,0.0167,0.0177
4,128,0.0003,0.0006,0.0194,0.0204
1,128,0.0003,0.0006,0.0025,0.0034
2,128,0.0005,0.0005,0.0171,0.0181
3,128,0.0005,0.0008,0.0160,0.0173
4,128,0.0004,0.0007,0.0188,0.0198
1,256,0.0011,0.0023,0.0098,0.0131
2,256,0.0011,0.0020,0.0688,0.0719
3,256,0.0011,0.0020,0.0663,0.0694
4,256,0.0011,0.0021,0.0777,0.0809
1,256,0.0014,0.0021,0.0100,0.0135
2,256,0.0011,0.0019,0.0698,0.0728
3,256,0.0012,0.0021,0.0663,0.0696
4,256,0.0012,0.0019,0.0793,0.0825
1,256,0.0013,0.0021,0.0098,0.0132
2,256,0.0013,0.0019,0.0691,0.0723
3,256,0.0011,0.0020,0.0643,0.0674
4,256,0.0014,0.0020,0.0779,0.0813
1,256,0.0011,0.0021,0.0098,0.0129
2,256,0.0012,0.0019,0.0702,0.0733
3,256,0.0014,0.0022,0.0648,0.0684
4,256,0.0014,0.0020,0.0775,0.0809
1,256,0.0010,0.0020,0.0098,0.0128
2,256,0.0011,0.0027,0.0677,0.0715
3,256,0.0011,0.0019,0.0659,0.0689
4,256,0.0011,0.0019,0.0777,0.0806
1,256,0.0011,0.0020,0.0098,0.0129
2,256,0.0011,0.0019,0.0695,0.0725
3,256,0.0011,0.0020,0.0627,0.0658
4,256,0.0011,0.0020,0.0777,0.0808
1,256,0.0012,0.0019,0.0099,0.0131
2,256,0.0011,0.0019,0.0684,0.0715
3,256,0.0012,0.0019,0.0648,0.0680
4,256,0.0011,0.0020,0.0780,0.0811
1,256,0.0011,0.0019,0.0096,0.0126
2,256,0.0011,0.0021,0.0684,0.0716
3,256,0.0012,0.0019,0.0641,0.0673
4,256,0.0011,0.0020,0.0775,0.0806
1,256,0.0015,0.0019,0.0096,0.0130
2,256,0.0012,0.0024,0.0705,0.0740
3,256,0.0012,0.0020,0.0639,0.0671
4,256,0.0018,0.0021,0.0772,0.0812
1,256,0.0017,0.0020,0.0100,0.0137
2,256,0.0011,0.0020,0.0694,0.0726
3,256,0.0014,0.0019,0.0647,0.0680
4,256,0.0010,0.0020,0.0797,0.0826
1,512,0.0041,0.0076,0.0380,0.0497
2,512,0.0043,0.0082,0.2636,0.2761
3,512,0.0046,0.0072,0.2491,0.2609
4,512,0.0041,0.0070,0.2979,0.3090
1,512,0.0037,0.0075,0.0381,0.0493
2,512,0.0041,0.0077,0.2634,0.2753
3,512,0.0041,0.0074,0.2455,0.2571
4,512,0.0039,0.0071,0.2982,0.3092
1,512,0.0038,0.0076,0.0390,0.0504
2,512,0.0042,0.0081,0.2617,0.2739
3,512,0.0042,0.0073,0.2464,0.2580
4,512,0.0039,0.0074,0.2996,0.3109
1,512,0.0041,0.0074,0.0386,0.0500
2,512,0.0043,0.0078,0.2606,0.2727
3,512,0.0044,0.0071,0.2497,0.2612
4,512,0.0038,0.0073,0.2965,0.3076
1,512,0.0045,0.0074,0.0385,0.0504
2,512,0.0041,0.0077,0.2638,0.2756
3,512,0.0043,0.0071,0.2484,0.2599
4,512,0.0041,0.0072,0.2971,0.3084
1,512,0.0044,0.0076,0.0373,0.0493
2,512,0.0041,0.0076,0.2615,0.2731
3,512,0.0071,0.0073,0.2477,0.2621
4,512,0.0043,0.0074,0.2962,0.3078
1,512,0.0041,0.0072,0.0395,0.0508
2,512,0.0045,0.0077,0.2629,0.2751
3,512,0.0042,0.0073,0.2466,0.2581
4,512,0.0039,0.0075,0.2973,0.3087
1,512,0.0046,0.0076,0.0380,0.0503
2,512,0.0046,0.0076,0.2606,0.2728
3,512,0.0039,0.0075,0.2510,0.2624
4,512,0.0039,0.0073,0.2975,0.3086
1,512,0.0040,0.0073,0.0384,0.0497
2,512,0.0045,0.0076,0.2608,0.2728
3,512,0.0039,0.0072,0.2500,0.2611
4,512,0.0041,0.0074,0.2958,0.3073
1,512,0.0041,0.0077,0.0387,0.0505
2,512,0.0044,0.0077,0.2605,0.2726
3,512,0.0040,0.0073,0.2461,0.2575
4,512,0.0046,0.0073,0.2978,0.3097
1,1024,0.0148,0.0311,0.1497,0.1957
2,1024,0.0146,0.0322,1.0702,1.1170
3,1024,0.0234,0.0315,1.0189,1.0738
4,1024,0.0230,0.0302,1.2229,1.2762
1,1024,0.0179,0.0302,0.1588,0.2068
2,1024,0.0155,0.0294,1.0762,1.1211
3,1024,0.0154,0.0314,1.0096,1.0565
4,1024,0.0147,0.0314,1.2189,1.2650
1,1024,0.0144,0.0313,0.1556,0.2013
2,1024,0.0184,0.0287,1.0583,1.1054
3,1024,0.0185,0.0308,1.0017,1.0511
4,1024,0.0229,0.0321,1.2117,1.2667
1,1024,0.0141,0.0313,0.1558,0.2012
2,1024,0.0149,0.0305,1.0777,1.1232
3,1024,0.0155,0.0315,1.0139,1.0609
4,1024,0.0152,0.0303,1.2179,1.2635
1,1024,0.0149,0.0301,0.1565,0.2015
2,1024,0.0147,0.0291,1.0625,1.1062
3,1024,0.0146,0.0306,1.0051,1.0503
4,1024,0.0214,0.0318,1.2126,1.2658
1,1024,0.0150,0.0325,0.1570,0.2045
2,1024,0.0152,0.0302,1.0670,1.1124
3,1024,0.0152,0.0303,1.0104,1.0560
4,1024,0.0152,0.0321,1.2642,1.3115
1,1024,0.0154,0.0327,0.1565,0.2047
2,1024,0.0153,0.0296,1.0617,1.1067
3,1024,0.0146,0.0314,1.0057,1.0517
4,1024,0.0153,0.0320,1.2177,1.2651
1,1024,0.0147,0.0317,0.1567,0.2031
2,1024,0.0154,0.0294,1.0647,1.1095
3,1024,0.0157,0.0311,1.0014,1.0482
4,1024,0.0149,0.0319,1.2148,1.2616
1,1024,0.0145,0.0305,0.1571,0.2021
2,1024,0.0156,0.0295,1.0716,1.1166
3,1024,0.0153,0.0312,0.9995,1.0460
4,1024,0.0151,0.0308,1.2138,1.2596
1,1024,0.0152,0.0307,0.1550,0.2009
2,1024,0.0154,0.0302,1.0594,1.1050
3,1024,0.0151,0.0314,1.0100,1.0565
4,1024,0.0151,0.0306,1.2193,1.2651
1,2048,0.0594,0.1222,0.5943,0.7758
2,2048,0.0559,0.1224,4.1321,4.3104
3,2048,0.0623,0.1226,3.8906,4.0756
4,2048,0.0627,0.1203,4.6688,4.8518
1,2048,0.0681,0.1206,0.5939,0.7827
2,2048,0.0680,0.1211,4.1323,4.3215
3,2048,0.0675,0.1167,3.8632,4.0474
4,2048,0.0658,0.1170,4.6408,4.8237
1,2048,0.0682,0.1240,0.5911,0.7834
2,2048,0.0638,0.1196,4.1169,4.3003
3,2048,0.0663,0.1196,3.8634,4.0492
4,2048,0.0674,0.1182,4.6672,4.8528
1,2048,0.0721,0.1220,0.5933,0.7873
2,2048,0.0667,0.1198,4.1237,4.3101
3,2048,0.0553,0.1188,3.8906,4.0647
4,2048,0.0663,0.1164,4.6578,4.8405
1,2048,0.0683,0.1352,0.5932,0.7967
2,2048,0.0652,0.1206,4.1078,4.2937
3,2048,0.0676,0.1188,3.8870,4.0735
4,2048,0.0670,0.1222,4.6547,4.8439
1,2048,0.0677,0.1257,0.5956,0.7891
2,2048,0.0574,0.1287,4.1099,4.2960
3,2048,0.0647,0.1197,3.8843,4.0687
4,2048,0.0687,0.1243,4.6548,4.8478
1,2048,0.0691,0.1219,0.5942,0.7852
2,2048,0.0668,0.1235,4.2041,4.3944
3,2048,0.0669,0.1297,3.8973,4.0940
4,2048,0.0663,0.1213,4.6592,4.8467
1,2048,0.0693,0.1249,0.5915,0.7856
2,2048,0.0699,0.1239,4.1264,4.3202
3,2048,0.0718,0.1204,3.8908,4.0830
4,2048,0.0655,0.1198,4.6714,4.8567
1,2048,0.0696,0.1245,0.5955,0.7897
2,2048,0.0719,0.1264,4.1171,4.3154
3,2048,0.0661,0.1210,3.9033,4.0904
4,2048,0.0629,0.1211,4.6476,4.8317
1,2048,0.0782,0.1247,0.6008,0.8037
2,2048,0.0688,0.1310,4.1468,4.3466
3,2048,0.0694,0.1210,3.8885,4.0790
4,2048,0.0620,0.1287,4.6497,4.8403
1,4096,0.2893,0.4713,2.3396,3.1002
2,4096,0.2942,0.4702,16.2229,16.9874
3,4096,0.2922,0.4790,15.8793,16.6505
4,4096,0.3109,0.4838,19.2744,20.0690
1,4096,0.2505,0.4744,2.4191,3.1440
2,4096,0.2563,0.4703,16.7650,17.4916
3,4096,0.2482,0.4625,15.5912,16.3019
4,4096,0.3253,0.4773,18.9046,19.7072
1,4096,0.3225,0.4939,2.3836,3.1999
2,4096,0.2482,0.4698,16.3227,17.0407
3,4096,0.3368,0.4770,15.6878,16.5015
4,4096,0.2447,0.4884,19.1119,19.8450
1,4096,0.2568,0.4636,2.3502,3.0707
2,4096,0.2532,0.4637,16.2193,16.9362
3,4096,0.2477,0.4657,15.2665,15.9800
4,4096,0.3066,0.4773,18.4052,19.1891
1,4096,0.3138,0.4739,2.3494,3.1372
2,4096,0.3196,0.4781,16.2166,17.0143
3,4096,0.3052,0.4862,15.2709,16.0623
4,4096,0.2872,0.4841,18.4945,19.2658
1,4096,0.3119,0.4834,2.3470,3.1423
2,4096,0.2445,0.4620,16.2073,16.9138
3,4096,0.2485,0.4664,15.2558,15.9707
4,4096,0.2468,0.4699,18.4214,19.1381
1,4096,0.3288,0.4760,2.3498,3.1546
2,4096,0.3219,0.4771,16.2308,17.0298
3,4096,0.3229,0.4807,15.2136,16.0172
4,4096,0.3297,0.4769,18.3768,19.1834
1,4096,0.2434,0.4635,2.3500,3.0569
2,4096,0.2408,0.4613,16.1922,16.8942
3,4096,0.2519,0.4663,15.2789,15.9972
4,4096,0.2469,0.4634,18.4445,19.1547
1,4096,0.3172,0.4802,2.3855,3.1829
2,4096,0.2522,0.4699,16.4260,17.1482
3,4096,0.2967,0.4880,16.4140,17.1988
4,4096,0.3109,0.4803,18.3229,19.1140
1,4096,0.2984,0.4779,2.3399,3.1161
2,4096,0.2906,0.4794,16.1274,16.8974
3,4096,0.2419,0.4644,15.1723,15.8787
4,4096,0.3057,0.4832,18.3203,19.1093
1,8192,1.2700,1.8716,9.0749,12.2166
2,8192,1.1193,1.8807,66.9312,69.9312
3,8192,0.9798,1.9362,61.4639,64.3800
4,8192,1.2764,1.8818,73.8344,76.9926
1,8192,1.3131,1.8587,9.1003,12.2721
2,8192,1.2283,1.8813,64.7333,67.8429
3,8192,1.2959,1.8833,60.5935,63.7727
4,8192,0.9688,1.8527,72.8406,75.6621
1,8192,1.1525,1.8614,9.0744,12.0883
2,8192,1.2888,1.8656,64.4752,67.6296
3,8192,1.2858,1.7796,61.3035,64.3689
4,8192,1.3077,1.8214,72.8415,75.9705
1,8192,1.3594,1.8069,9.0483,12.2147
2,8192,1.3358,1.7877,64.1868,67.3102
3,8192,0.9636,1.8031,60.3854,63.1521
4,8192,0.9715,1.7979,72.8596,75.6290
1,8192,1.3437,1.8090,9.0520,12.2047
2,8192,1.1869,1.7827,64.1236,67.0932
3,8192,1.2244,1.8697,60.7394,63.8335
4,8192,1.2063,1.9299,72.9736,76.1097
1,8192,1.0483,1.7841,9.0663,11.8988
2,8192,0.9815,1.7812,65.3239,68.0866
3,8192,0.9489,1.7910,60.4182,63.1581
4,8192,1.0294,1.7821,72.8231,75.6347
1,8192,0.9747,1.7952,9.3569,12.1269
2,8192,1.0873,1.8427,64.1387,67.0686
3,8192,0.9731,1.8361,60.5326,63.3419
4,8192,0.9748,1.8599,74.1097,76.9444
1,8192,1.1679,1.8120,9.0810,12.0609
2,8192,0.9510,1.8062,64.1706,66.9278
3,8192,1.2532,1.8531,60.5925,63.6989
4,8192,0.9498,1.8607,72.8651,75.6756
1,8192,1.2451,1.8858,9.3665,12.4975
2,8192,1.0881,1.8808,64.6438,67.6128
3,8192,1.2527,1.8725,60.4906,63.6159
4,8192,1.1401,1.8706,72.9720,75.9827
1,8192,1.2315,1.8875,9.0889,12.2079
2,8192,1.2901,1.8696,64.2505,67.4102
3,8192,1.3188,1.8719,60.5549,63.7455
4,8192,1.3076,1.8559,73.0296,76.1931
